season,title,author,performances
1746-1747,"","",2
1769-1770,"","",2
1770-1771,"","",3
1772-1773,"","",1
1773-1774,"","",7
1737-1738,Cavalcade (La),"",7
1741-1742,Cavalcade (La),"",2
1742-1743,Cavalcade (La),"",6
1743-1744,Cavalcade (La),"",1
1755-1756,Cavalcade (La),"",2
1765-1766,Cavalcade (La),"",1
1770-1771,Cavalcade (La),"",3
1771-1772,Cavalcade (La),"",2
1776-1777,Cavalcade (La),"",7
1685-1686,Aristobule,"Abeille (Gaspard, abbé)",3
1688-1689,Coriolan,"Abeille (Gaspard, abbé)",3
1729-1730,Avare amoureux (L'),Aigueberre (Jean Dumas d'),3
1733-1734,Avare amoureux (L'),Aigueberre (Jean Dumas d'),8
1737-1738,Avare amoureux (L'),Aigueberre (Jean Dumas d'),3
1742-1743,Avare amoureux (L'),Aigueberre (Jean Dumas d'),1
1752-1753,Avare amoureux (L'),Aigueberre (Jean Dumas d'),2
1779-1780,Avare amoureux (L'),Aigueberre (Jean Dumas d'),1
1780-1781,Avare amoureux (L'),Aigueberre (Jean Dumas d'),2
1730-1731,Prince de Noisy (Le),Aigueberre (Jean Dumas d'),7
1729-1730,"Trois spectacles (Les) ou Polixène, tragédie, L'Avare amoureux, comédie et Pan et Doris, pastorale héroïque",Aigueberre (Jean Dumas d'),20
1726-1727,Fausse comtesse (La),Allainval (Léonor-Jean-Christine Soulas d'),5
1731-1732,Mari curieux (Le),Allainval (Léonor-Jean-Christine Soulas d'),15
1728-1729,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),9
1770-1771,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),3
1786-1787,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),2
1787-1788,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),12
1788-1789,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),7
1789-1790,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),2
1790-1791,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),7
1791-1792,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),8
1792-1793,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),5
1743-1744,Muet par amour (Le),Alliot,1
1751-1752,Muet par amour (Le),Alliot,1
1788-1789,Lanval et Viviane ou les Fées et les chevaliers,André-Murville (Pierre-Nicolas),10
1785-1786,Melcour et Verseuil,André-Murville (Pierre-Nicolas),9
1786-1787,Melcour et Verseuil,André-Murville (Pierre-Nicolas),2
1781-1782,Rendez-vous du mari ou le Mari à la mode (Le),André-Murville (Pierre-Nicolas),5
1789-1790,Souper magique ou les Deux siècles (Le),André-Murville (Pierre-Nicolas),3
1687-1688,Badaud (Le),Anonyme,5
1697-1698,Bourget (Le),Anonyme,8
1691-1692,Chasse ridicule (La),Anonyme,6
1684-1685,Danse de Gigogne,Anonyme,2
1693-1694,Dédit (Le),Anonyme,1
1730-1731,Effet de la prévention (L'),Anonyme,1
1697-1698,Enfant gâté (L'),Anonyme,1
1699-1700,Entêtement ridicule (L'),Anonyme,8
1694-1695,Entêté (L'),Anonyme,2
1696-1697,Fille médecin (La),Anonyme,4
1703-1704,Frontin gouverneur du château de Vertigililinguen,Anonyme,4
1680-1681,Gentilhomme meunier (Le),Anonyme,5
1700-1701,Gros lot de Marseille (Le),Anonyme,21
1695-1696,Gênois (Le),Anonyme,1
1740-1741,Heureux échange (L'),Anonyme,2
1686-1687,Homme de guerre (L'),Anonyme,7
1685-1686,Héroïne (L'),Anonyme,4
1695-1696,Jaloux masqué (Le),Anonyme,7
1694-1695,Jeune homme (Le),Anonyme,2
1681-1682,Le Laquais fille,Anonyme,3
1697-1698,Marquis de l'industrie (Le),Anonyme,1
1699-1700,Marquise imaginaire (La),Anonyme,18
1700-1701,Marquise imaginaire (La),Anonyme,1
1696-1697,Maréchal médecin (Le) ou les Houssards ou le Médecin de Mantes,Anonyme,7
1704-1705,Médecin de village (Le),Anonyme,7
1685-1686,Opérateur (L'),Anonyme,7
1701-1702,Petit maître de campagne ou le Vicomte de Génicourt (Le),Anonyme,3
1696-1697,Petits Maîtres d'été (Les),Anonyme,8
1705-1706,Provençale (La),Anonyme,4
1699-1700,Père supposé (Le),Anonyme,1
1687-1688,Rival de son maître (Le),Anonyme,6
1706-1707,Rival de son maître (Le),Anonyme,3
1714-1715,Rivaux d'eux-mêmes (Les),Anonyme,3
1754-1755,Souper (Le),Anonyme,1
1696-1697,Sœurs rivales (Les),Anonyme,5
1694-1695,Triomphe de l'hiver (Le),Anonyme,1
1743-1744,Vieillards rajeunis (Les),Anonyme,1
1693-1694,Zénobie,Anonyme,5
1688-1689,Épreuve dangereuse (L'),Anonyme,2
1690-1691,Cadet de Gascogne (Le),Anonyme ,1
1715-1716,Cadet de Gascogne (Le),Anonyme ,1
1680-1681,Usuriers (Les),Anonyme ,2
1790-1791,Amants malheureux ou le Comte de Comminges (Les),Arnaud (François-Thomas-Marie de Baculard d'),20
1792-1793,Amants malheureux ou le Comte de Comminges (Les),Arnaud (François-Thomas-Marie de Baculard d'),3
1792-1793,Lucrèce,Arnault (Antoine Vincent),7
1791-1792,Marius à Minturnes,Arnault (Antoine Vincent),14
1792-1793,Marius à Minturnes,Arnault (Antoine Vincent),6
1772-1773,Centenaire de Molière (Le),Artaud (Jean-Baptiste),11
1773-1774,Centenaire de Molière (Le),Artaud (Jean-Baptiste),3
1690-1691,Agathocle,"Aubry (Jean-Baptiste Aubry des Carrières, dit)",3
1689-1690,Démétrius,"Aubry (Jean-Baptiste Aubry des Carrières, dit)",11
1790-1791,Journaliste des ombres ou Momus aux Champs-Élysées (Le),Aude (Joseph),6
1727-1728,Amants déguisés (Les),Aunillon (Pierre-Charles-Fabiot),5
1728-1729,Amants déguisés (Les),Aunillon (Pierre-Charles-Fabiot),1
1738-1739,Amants déguisés (Les),Aunillon (Pierre-Charles-Fabiot),7
1731-1732,Chevalier Bayard (Le),Autreau (Jacques),6
1735-1736,Magie de l'Amour (La),Autreau (Jacques),15
1736-1737,Magie de l'Amour (La),Autreau (Jacques),7
1737-1738,Magie de l'Amour (La),Autreau (Jacques),9
1746-1747,Magie de l'Amour (La),Autreau (Jacques),2
1764-1765,Magie de l'Amour (La),Autreau (Jacques),6
1765-1766,Magie de l'Amour (La),Autreau (Jacques),1
1730-1731,Tragédie en prose ou la Tragédie extravagante (La),Auvigny (Jean du Castre d'),11
1730-1731,Divorce ou les Époux mécontents (Le),Avisse (Étienne-François),3
1747-1748,Aphos,Baragué,8
1749-1750,Aphos,Baragué,4
1702-1703,Arrie et Pétus,Barbier (Marie-Anne),21
1711-1712,Arrie et Pétus,Barbier (Marie-Anne),7
1702-1703,Cornélie mère des Gracques,Barbier (Marie-Anne),8
1719-1720,Faucon (Le),Barbier (Marie-Anne),12
1709-1710,Mort de César (La) ou Jules César,Barbier (Marie-Anne),6
1706-1707,Tomyris,Barbier (Marie-Anne),6
1704-1705,Adelphes ou L'École des pères (Les),Baron (Michel Boyron dit),7
1703-1704,Andrienne (L'),Baron (Michel Boyron dit),13
1704-1705,Andrienne (L'),Baron (Michel Boyron dit),4
1711-1712,Andrienne (L'),Baron (Michel Boyron dit),6
1718-1719,Andrienne (L'),Baron (Michel Boyron dit),10
1719-1720,Andrienne (L'),Baron (Michel Boyron dit),4
1720-1721,Andrienne (L'),Baron (Michel Boyron dit),5
1721-1722,Andrienne (L'),Baron (Michel Boyron dit),4
1722-1723,Andrienne (L'),Baron (Michel Boyron dit),6
1724-1725,Andrienne (L'),Baron (Michel Boyron dit),2
1726-1727,Andrienne (L'),Baron (Michel Boyron dit),5
1728-1729,Andrienne (L'),Baron (Michel Boyron dit),8
1732-1733,Andrienne (L'),Baron (Michel Boyron dit),4
1734-1735,Andrienne (L'),Baron (Michel Boyron dit),6
1738-1739,Andrienne (L'),Baron (Michel Boyron dit),3
1744-1745,Andrienne (L'),Baron (Michel Boyron dit),11
1745-1746,Andrienne (L'),Baron (Michel Boyron dit),3
1750-1751,Andrienne (L'),Baron (Michel Boyron dit),7
1751-1752,Andrienne (L'),Baron (Michel Boyron dit),3
1752-1753,Andrienne (L'),Baron (Michel Boyron dit),5
1754-1755,Andrienne (L'),Baron (Michel Boyron dit),5
1755-1756,Andrienne (L'),Baron (Michel Boyron dit),2
1756-1757,Andrienne (L'),Baron (Michel Boyron dit),1
1757-1758,Andrienne (L'),Baron (Michel Boyron dit),3
1758-1759,Andrienne (L'),Baron (Michel Boyron dit),6
1759-1760,Andrienne (L'),Baron (Michel Boyron dit),2
1760-1761,Andrienne (L'),Baron (Michel Boyron dit),2
1761-1762,Andrienne (L'),Baron (Michel Boyron dit),1
1763-1764,Andrienne (L'),Baron (Michel Boyron dit),6
1767-1768,Andrienne (L'),Baron (Michel Boyron dit),6
1773-1774,Andrienne (L'),Baron (Michel Boyron dit),4
1777-1778,Andrienne (L'),Baron (Michel Boyron dit),3
1779-1780,Andrienne (L'),Baron (Michel Boyron dit),2
1782-1783,Andrienne (L'),Baron (Michel Boyron dit),3
1686-1687,Coquette et la fausse prude (La),Baron (Michel Boyron dit),26
1687-1688,Coquette et la fausse prude (La),Baron (Michel Boyron dit),6
1688-1689,Coquette et la fausse prude (La),Baron (Michel Boyron dit),8
1689-1690,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1690-1691,Coquette et la fausse prude (La),Baron (Michel Boyron dit),5
1691-1692,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1692-1693,Coquette et la fausse prude (La),Baron (Michel Boyron dit),9
1693-1694,Coquette et la fausse prude (La),Baron (Michel Boyron dit),6
1694-1695,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1695-1696,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1696-1697,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1697-1698,Coquette et la fausse prude (La),Baron (Michel Boyron dit),5
1698-1699,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1699-1700,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1700-1701,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1701-1702,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1702-1703,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1704-1705,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1714-1715,Coquette et la fausse prude (La),Baron (Michel Boyron dit),11
1715-1716,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1718-1719,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1720-1721,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1721-1722,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1722-1723,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1723-1724,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1724-1725,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1726-1727,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1729-1730,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1737-1738,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1738-1739,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1749-1750,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1752-1753,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1753-1754,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1755-1756,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1758-1759,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1759-1760,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1761-1762,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1765-1766,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1767-1768,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1768-1769,Coquette et la fausse prude (La),Baron (Michel Boyron dit),4
1769-1770,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1770-1771,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1771-1772,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1772-1773,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1773-1774,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1774-1775,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1776-1777,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1777-1778,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1779-1780,Coquette et la fausse prude (La),Baron (Michel Boyron dit),1
1780-1781,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1782-1783,Coquette et la fausse prude (La),Baron (Michel Boyron dit),2
1786-1787,Coquette et la fausse prude (La),Baron (Michel Boyron dit),3
1689-1690,Débauché (Le),Baron (Michel Boyron dit),11
1685-1686,Enlèvements (Les),Baron (Michel Boyron dit),9
1686-1687,Enlèvements (Les),Baron (Michel Boyron dit),3
1688-1689,Enlèvements (Les),Baron (Michel Boyron dit),2
1689-1690,Enlèvements (Les),Baron (Michel Boyron dit),1
1691-1692,Enlèvements (Les),Baron (Michel Boyron dit),1
1689-1690,Fontanges maltraitées ou les Vapeurs (Les),Baron (Michel Boyron dit),16
1685-1686,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),24
1686-1687,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),11
1687-1688,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),7
1688-1689,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1689-1690,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1690-1691,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1691-1692,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1692-1693,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1693-1694,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1694-1695,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1695-1696,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1696-1697,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1697-1698,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1698-1699,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1699-1700,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1700-1701,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1701-1702,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1702-1703,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1703-1704,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1704-1705,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),7
1705-1706,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1706-1707,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1707-1708,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1708-1709,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1709-1710,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1710-1711,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1711-1712,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1712-1713,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),7
1713-1714,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),7
1714-1715,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1715-1716,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),9
1716-1717,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),8
1717-1718,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),7
1718-1719,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),8
1719-1720,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1720-1721,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1721-1722,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1722-1723,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1723-1724,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1724-1725,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1725-1726,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1726-1727,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1727-1728,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1728-1729,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),8
1731-1732,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1733-1734,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1735-1736,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1740-1741,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),10
1741-1742,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1742-1743,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1743-1744,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),10
1744-1745,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1745-1746,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1746-1747,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1747-1748,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1749-1750,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1750-1751,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),7
1751-1752,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1752-1753,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1753-1754,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1754-1755,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1755-1756,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1756-1757,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1757-1758,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1758-1759,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),8
1759-1760,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1761-1762,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1762-1763,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1764-1765,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1765-1766,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1766-1767,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1767-1768,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1768-1769,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1769-1770,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1770-1771,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1771-1772,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1772-1773,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1773-1774,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1774-1775,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),4
1775-1776,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1776-1777,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1777-1778,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1778-1779,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),2
1779-1780,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),1
1780-1781,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),6
1781-1782,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1783-1784,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),1
1790-1791,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),5
1792-1793,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).,Baron (Michel Boyron dit),3
1687-1688,Jaloux (Le),Baron (Michel Boyron dit),13
1709-1710,Jaloux (Le),Baron (Michel Boyron dit),1
1724-1725,Jaloux (Le),Baron (Michel Boyron dit),1
1684-1685,Rendez-vous des Tuileries ou le Coquet trompé (Le),Baron (Michel Boyron dit),10
1685-1686,Rendez-vous des Tuileries ou le Coquet trompé (Le),Baron (Michel Boyron dit),3
1686-1687,Rendez-vous des Tuileries ou le Coquet trompé (Le),Baron (Michel Boyron dit),3
1687-1688,Rendez-vous des Tuileries ou le Coquet trompé (Le),Baron (Michel Boyron dit),2
1689-1690,Répétition (La),Baron (Michel Boyron dit),12
1763-1764,Amateur (L'),Barthe (Nicolas-Thomas),9
1767-1768,Fausses infidélités (Les),Barthe (Nicolas-Thomas),18
1768-1769,Fausses infidélités (Les),Barthe (Nicolas-Thomas),10
1769-1770,Fausses infidélités (Les),Barthe (Nicolas-Thomas),4
1770-1771,Fausses infidélités (Les),Barthe (Nicolas-Thomas),4
1771-1772,Fausses infidélités (Les),Barthe (Nicolas-Thomas),5
1772-1773,Fausses infidélités (Les),Barthe (Nicolas-Thomas),2
1773-1774,Fausses infidélités (Les),Barthe (Nicolas-Thomas),5
1774-1775,Fausses infidélités (Les),Barthe (Nicolas-Thomas),3
1775-1776,Fausses infidélités (Les),Barthe (Nicolas-Thomas),1
1776-1777,Fausses infidélités (Les),Barthe (Nicolas-Thomas),5
1777-1778,Fausses infidélités (Les),Barthe (Nicolas-Thomas),7
1778-1779,Fausses infidélités (Les),Barthe (Nicolas-Thomas),2
1779-1780,Fausses infidélités (Les),Barthe (Nicolas-Thomas),1
1780-1781,Fausses infidélités (Les),Barthe (Nicolas-Thomas),1
1782-1783,Fausses infidélités (Les),Barthe (Nicolas-Thomas),2
1783-1784,Fausses infidélités (Les),Barthe (Nicolas-Thomas),3
1787-1788,Fausses infidélités (Les),Barthe (Nicolas-Thomas),3
1789-1790,Fausses infidélités (Les),Barthe (Nicolas-Thomas),1
1790-1791,Fausses infidélités (Les),Barthe (Nicolas-Thomas),1
1792-1793,Fausses infidélités (Les),Barthe (Nicolas-Thomas),5
1777-1778,Homme personnel (L'),Barthe (Nicolas-Thomas),8
1771-1772,Mère jalouse (La),Barthe (Nicolas-Thomas),6
1764-1765,Jeune homme (Le),Bastide (Jean-François de),1
1772-1773,Chérusques (Les),Bauvin (Jean-Grégoire),8
1773-1774,Chérusques (Les),Bauvin (Jean-Grégoire),1
1782-1783,Amants espagnols (Les),Beaugeard (Jean-Simon Férréol),1
1732-1733,Fausse inconstance ou le Triomphe de l'honnêteté (La),Beauharnais (Fanny de),1
1786-1787,Fausse inconstance ou le Triomphe de l'honnêteté (La),Beauharnais (Fanny de),1
1774-1775,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),13
1775-1776,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),16
1776-1777,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),3
1777-1778,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),6
1778-1779,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),4
1779-1780,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),4
1780-1781,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),4
1781-1782,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),8
1782-1783,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),8
1783-1784,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),9
1784-1785,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),3
1785-1786,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),5
1786-1787,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),4
1787-1788,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),8
1788-1789,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),7
1789-1790,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),5
