performances,author
14,"Aubry (Jean-Baptiste Aubry des Carrières, dit)"
13,Boistel d'Welles (Jean-Baptiste-Robert ou Robert)
13,Rousseau (Pierre de Toulouse)
13,Laignelot (Joseph François)
13,Aunillon (Pierre-Charles-Fabiot)
12,Baragué
12,Saint-Yon 
12,Lesur (Charles-Louis)
12,Linant (Nicolas-Michel)
12,Rousseau (Pierre-Joseph)
12,Patu (Claude-Pierre) ; Portelance (Michel)
11,Yon
11,Auvigny (Jean du Castre d')
11,Boisrobert (François Le Métel de)
11,Du Bocage (Anne-Marie)
11,Fallet (Nicolas)
11,Fontenelle (Bernard le Bouvier de)
11,Gilbert (Gabriel)
11,Grandval (Nicolas Racot de)
10,Brunet (Pierre-Nicolas)
10,Denon (Dominique-Vivant)
10,Dezède (Nicolas)
10,Procope-Couteaux (Michel)
10,Le Clerc de La Bruère (Charles-Antoine)
9,Parisau (Pierre-Germain)
9,Brie (de)
9,Guérin d'Estriché (Nicolas-Armand-Martial)
9,Bauvin (Jean-Grégoire)
9,"Saint-Glas (Pierre de, abbé de Saint-Ussans)"
9,"La Chaussée (Pierre-Claude Nivelle de La Chaussée, dit Pierre-Claude)"
8,Tronchin (François)
8,Moissy (Alexandre-Guillaume de)
8,La Salle (Adrien-Nicolas)
8,Rotrou (Jean de) ; Ussé (Louis II Bernin de Valentinay d')
8,Dorvigny
8,Mailhol (Gabriel)
7,"La Grange (ou Lagrange, Nicolas [de])"
7,Bret (Antoine) ; Godard d'Aucour (Claude) ; Villaret (Claude)
7,Boizard de Ponteau (Claude-Florimond)
7,Le neveu de l'abbé Abeille (Nicolas Abeille dit)
7,Ximénès (Augustin-Louis de)
7,L'Affichard (Thomas)
7,Oisemont (d')
7,Gudin de La Brenellerie (Paul-Philippe)
7,Dupuy
7,Montfort
7,Richer (Henri)
7,Raucourt (Françoise-Marie-Antoinette-Josèphe Saucerotte dite Mademoiselle)
6,"Abeille (Gaspard, abbé)"
6,Le Mascrier (Jean-Baptiste)
6,"La Montagne (Pierre, baron de)"
6,Marchadier (Abbé)
6,Dussieux (Louis)
6,Durosoy (Barnabé Farmian)
6,Doigny du Ponceau
6,Desforges
6,Cubières-Palmézeaux (Michel de)
6,Cordier de Saint-Firmin (Edmond)
6,"Rowe (Nicholas), auteur / Laplace (Pierre-Antoine de) ou Séran de La Tour (abbé) ou Mauprié (marquis de), traducteur"
6,Aude (Joseph)
5,Beauregard
5,Hénault (Charles-Jean-François)
5,Séguineau (Mr) ; Pralard (René)
5,Collot d'Herbois
5,Falconnet (Françoise-Cécile) ; Rozet (Madame)
5,Devaux (François-Antoine)
5,Colomb de Seillans
5,Lemercier (Louis-Népomucène)
5,Lebeau de Schosne (Augustin-Théodore-Vincent)
5,Gillet de La Tessonerie
5,Ferrier de la Martinière (Louis)
5,Mauduit-Larive (Jean)
5,La Valette
5,Lonvay de La Saussaye (Jean-Baptiste)
5,Maillet-Duclairon (Antoine)
4,"Carcavy (Charles-Alexandre, abbé)"
4,"Launay, De"
4,"Saint-Chamond (Claire-Marie Mazarelli, marquise de)"
4,Saint-Gilles Lenfant (de)
4,Sauvigny (Edme-Louis Billardon de)
4,Anonyme 
4,Desforges (Pierre-Jean-Baptiste Choudard)
